Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,100,51248,14.235555555555555,D3,3371,0.41694495980210267,485,515
GFP,100,51248,14.235555555555555,D4,3407,0.4213976499690785,485,515
GFP,100,51248,14.235555555555555,D5,3051,0.3773654916512059,485,515
GFP,100,51248,14.235555555555555,D6,3394,0.41978973407544834,485,515
GFP,100,51248,14.235555555555555,D7,3365,0.41620284477427333,485,515
GFP,100,51248,14.235555555555555,D8,3036,0.37551020408163266,485,515
GFP,100,51248,14.235555555555555,D9,3236,0.4002473716759431,485,515
GFP,100,51248,14.235555555555555,D10,3400,0.4205318491032777,485,515
GFP,100,51248,14.235555555555555,D11,3059,0.37835497835497833,485,515
GFP,100,51248,14.235555555555555,D12,3345,0.4137291280148423,485,515
GFP,100,51248,14.235555555555555,E1,3479,0.4303030303030303,485,515
GFP,100,51248,14.235555555555555,E2,3770,0.46629560915275203,485,515
GFP,100,51248,14.235555555555555,E3,3291,0.4070500927643785,485,515
GFP,100,51248,14.235555555555555,E4,3379,0.4179344465058751,485,515
GFP,100,51248,14.235555555555555,E5,3689,0.4562770562770563,485,515
GFP,100,51248,14.235555555555555,E6,3237,0.40037105751391466,485,515
GFP,100,51248,14.235555555555555,E7,3320,0.4106369820655535,485,515
GFP,100,51248,14.235555555555555,E8,3630,0.4489795918367347,485,515
GFP,100,51248,14.235555555555555,E9,3181,0.3934446505875077,485,515
GFP,100,51248,14.235555555555555,E10,3389,0.4191713048855906,485,515
GFP,100,51248,14.235555555555555,E11,3509,0.4340136054421769,485,515
GFP,100,51248,14.235555555555555,E12,3136,0.3878787878787879,485,515
GFP,100,51248,14.235555555555555,F1,294,0.03636363636363636,485,515
GFP,100,51248,14.235555555555555,F2,263,0.03252937538651824,485,515
GFP,100,51248,14.235555555555555,F3,312,0.038589981447124305,485,515
GFP,100,51248,14.235555555555555,F4,293,0.03623995052566481,485,515
GFP,100,51248,14.235555555555555,F5,279,0.03450834879406308,485,515
GFP,100,51248,14.235555555555555,F6,285,0.03525046382189239,485,515
GFP,100,51248,14.235555555555555,F7,276,0.034137291280148425,485,515
GFP,100,51248,14.235555555555555,F8,270,0.03339517625231911,485,515
GFP,100,51248,14.235555555555555,F9,290,0.035868893011750155,485,515
GFP,100,51248,14.235555555555555,F10,292,0.03611626468769326,485,515
GFP,100,51248,14.235555555555555,F11,279,0.03450834879406308,485,515
GFP,100,51248,14.235555555555555,F12,276,0.034137291280148425,485,515
GFP,100,51248,14.235555555555555,G1,287,0.0354978354978355,485,515
GFP,100,51248,14.235555555555555,G2,260,0.032158317872603585,485,515
GFP,100,51248,14.235555555555555,G3,264,0.0326530612244898,485,515
GFP,100,51248,14.235555555555555,G4,271,0.03351886209029066,485,515
GFP,100,51248,14.235555555555555,G5,264,0.0326530612244898,485,515
GFP,100,51248,14.235555555555555,G6,294,0.03636363636363636,485,515
GFP,100,51248,14.235555555555555,G7,295,0.036487322201607914,485,515
GFP,100,51248,14.235555555555555,G8,292,0.03611626468769326,485,515
GFP,100,51248,14.235555555555555,G9,278,0.03438466295609153,485,515
GFP,100,51248,14.235555555555555,G10,302,0.03735312306740878,485,515
GFP,100,51248,14.235555555555555,G11,307,0.03797155225726654,485,515
GFP,100,51248,14.235555555555555,G12,315,0.03896103896103896,485,515
GFP,100,51248,14.235555555555555,H1,270,0.03339517625231911,485,515
GFP,100,51248,14.235555555555555,H2,272,0.03364254792826221,485,515
GFP,100,51248,14.235555555555555,H3,272,0.03364254792826221,485,515
GFP,100,51248,14.235555555555555,H4,294,0.03636363636363636,485,515
GFP,100,51248,14.235555555555555,H5,288,0.03562152133580705,485,515
GFP,100,51248,14.235555555555555,H6,282,0.034879406307977735,485,515
GFP,100,51248,14.235555555555555,H7,307,0.03797155225726654,485,515
GFP,100,51248,14.235555555555555,H8,277,0.03426097711811998,485,515
GFP,100,51248,14.235555555555555,H9,291,0.03599257884972171,485,515
GFP,100,51248,14.235555555555555,H10,315,0.03896103896103896,485,515
GFP,100,51248,14.235555555555555,H11,292,0.03611626468769326,485,515
GFP,100,51248,14.235555555555555,H12,311,0.038466295609152754,485,515
GFP,100,51548,14.318888888888889,A1,282,0.034879406307977735,485,515
GFP,100,51548,14.318888888888889,A2,314,0.03883735312306741,485,515
GFP,100,51548,14.318888888888889,A3,286,0.03537414965986395,485,515
GFP,100,51548,14.318888888888889,A4,294,0.03636363636363636,485,515
GFP,100,51548,14.318888888888889,A5,325,0.04019789734075448,485,515
GFP,100,51548,14.318888888888889,A6,268,0.033147804576376005,485,515
GFP,100,51548,14.318888888888889,A7,279,0.03450834879406308,485,515
GFP,100,51548,14.318888888888889,A8,267,0.033024118738404454,485,515
GFP,100,51548,14.318888888888889,A9,254,0.031416202844774276,485,515
GFP,100,51548,14.318888888888889,A10,253,0.031292517006802724,485,515
GFP,100,51548,14.318888888888889,A11,243,0.030055658627087197,485,515
GFP,100,51548,14.318888888888889,A12,279,0.03450834879406308,485,515
GFP,100,51548,14.318888888888889,B1,273,0.033766233766233764,485,515
GFP,100,51548,14.318888888888889,B2,297,0.036734693877551024,485,515
GFP,100,51548,14.318888888888889,B3,289,0.035745207173778604,485,515
GFP,100,51548,14.318888888888889,B4,286,0.03537414965986395,485,515
GFP,100,51548,14.318888888888889,B5,296,0.036611008039579465,485,515
GFP,100,51548,14.318888888888889,B6,265,0.03277674706246135,485,515
GFP,100,51548,14.318888888888889,B7,259,0.032034632034632034,485,515
GFP,100,51548,14.318888888888889,B8,277,0.03426097711811998,485,515
GFP,100,51548,14.318888888888889,B9,268,0.033147804576376005,485,515
GFP,100,51548,14.318888888888889,B10,277,0.03426097711811998,485,515
GFP,100,51548,14.318888888888889,B11,261,0.03228200371057514,485,515
GFP,100,51548,14.318888888888889,B12,319,0.03945578231292517,485,515
GFP,100,51548,14.318888888888889,C1,428,0.052937538651824365,485,515
GFP,100,51548,14.318888888888889,C2,446,0.05516388373531231,485,515
GFP,100,51548,14.318888888888889,C3,448,0.05541125541125541,485,515
GFP,100,51548,14.318888888888889,C4,426,0.05269016697588126,485,515
GFP,100,51548,14.318888888888889,C5,432,0.05343228200371058,485,515
GFP,100,51548,14.318888888888889,C6,270,0.03339517625231911,485,515
GFP,100,51548,14.318888888888889,C7,434,0.05367965367965368,485,515
GFP,100,51548,14.318888888888889,C8,431,0.05330859616573902,485,515
GFP,100,51548,14.318888888888889,C9,268,0.033147804576376005,485,515
GFP,100,51548,14.318888888888889,C10,438,0.05417439703153989,485,515
GFP,100,51548,14.318888888888889,C11,415,0.051329622758194186,485,515
GFP,100,51548,14.318888888888889,C12,296,0.036611008039579465,485,515
GFP,100,51548,14.318888888888889,D1,3662,0.45293753865182435,485,515
GFP,100,51548,14.318888888888889,D2,3048,0.3769944341372913,485,515
GFP,100,51548,14.318888888888889,D3,3474,0.4296846011131725,485,515
GFP,100,51548,14.318888888888889,D4,3273,0.4048237476808905,485,515
GFP,100,51548,14.318888888888889,D5,3157,0.3904761904761905,485,515
GFP,100,51548,14.318888888888889,D6,3315,0.4100185528756957,485,515
GFP,100,51548,14.318888888888889,D7,3399,0.4204081632653061,485,515
GFP,100,51548,14.318888888888889,D8,3140,0.3883735312306741,485,515
GFP,100,51548,14.318888888888889,D9,3337,0.4127396413110699,485,515
GFP,100,51548,14.318888888888889,D10,3405,0.42115027829313545,485,515
GFP,100,51548,14.318888888888889,D11,2993,0.3701917130488559,485,515
GFP,100,51548,14.318888888888889,D12,3406,0.421273964131107,485,515
GFP,100,51548,14.318888888888889,E1,3581,0.44291898577612865,485,515
GFP,100,51548,14.318888888888889,E2,3673,0.45429808286951145,485,515
GFP,100,51548,14.318888888888889,E3,3224,0.3987631416202845,485,515
GFP,100,51548,14.318888888888889,E4,3469,0.42906617192331475,485,515
GFP,100,51548,14.318888888888889,E5,3771,0.46641929499072354,485,515
GFP,100,51548,14.318888888888889,E6,3333,0.4122448979591837,485,515
GFP,100,51548,14.318888888888889,E7,3381,0.41818181818181815,485,515
GFP,100,51548,14.318888888888889,E8,3567,0.4411873840445269,485,515
GFP,100,51548,14.318888888888889,E9,3171,0.3922077922077922,485,515
GFP,100,51548,14.318888888888889,E10,3336,0.4126159554730983,485,515
GFP,100,51548,14.318888888888889,E11,3638,0.4499690785405071,485,515
GFP,100,51548,14.318888888888889,E12,3155,0.39022881880024735,485,515
GFP,100,51548,14.318888888888889,F1,307,0.03797155225726654,485,515
GFP,100,51548,14.318888888888889,F2,269,0.03327149041434756,485,515
GFP,100,51548,14.318888888888889,F3,251,0.031045145330859617,485,515
GFP,100,51548,14.318888888888889,F4,294,0.03636363636363636,485,515
GFP,100,51548,14.318888888888889,F5,279,0.03450834879406308,485,515
GFP,100,51548,14.318888888888889,F6,282,0.034879406307977735,485,515
GFP,100,51548,14.318888888888889,F7,326,0.040321583178726035,485,515
GFP,100,51548,14.318888888888889,F8,238,0.02943722943722944,485,515
GFP,100,51548,14.318888888888889,F9,270,0.03339517625231911,485,515
GFP,100,51548,14.318888888888889,F10,274,0.033889919604205315,485,515
GFP,100,51548,14.318888888888889,F11,260,0.032158317872603585,485,515
GFP,100,51548,14.318888888888889,F12,300,0.03710575139146568,485,515
GFP,100,51548,14.318888888888889,G1,303,0.037476808905380334,485,515
GFP,100,51548,14.318888888888889,G2,300,0.03710575139146568,485,515
GFP,100,51548,14.318888888888889,G3,287,0.0354978354978355,485,515
GFP,100,51548,14.318888888888889,G4,256,0.03166357452071738,485,515
GFP,100,51548,14.318888888888889,G5,295,0.036487322201607914,485,515
GFP,100,51548,14.318888888888889,G6,304,0.037600494743351885,485,515
GFP,100,51548,14.318888888888889,G7,293,0.03623995052566481,485,515
GFP,100,51548,14.318888888888889,G8,287,0.0354978354978355,485,515
GFP,100,51548,14.318888888888889,G9,287,0.0354978354978355,485,515
GFP,100,51548,14.318888888888889,G10,317,0.03920841063698206,485,515
GFP,100,51548,14.318888888888889,G11,269,0.03327149041434756,485,515
GFP,100,51548,14.318888888888889,G12,283,0.03500309214594929,485,515
GFP,100,51548,14.318888888888889,H1,260,0.032158317872603585,485,515
GFP,100,51548,14.318888888888889,H2,286,0.03537414965986395,485,515
GFP,100,51548,14.318888888888889,H3,328,0.04056895485466914,485,515
GFP,100,51548,14.318888888888889,H4,286,0.03537414965986395,485,515
GFP,100,51548,14.318888888888889,H5,278,0.03438466295609153,485,515
GFP,100,51548,14.318888888888889,H6,328,0.04056895485466914,485,515
GFP,100,51548,14.318888888888889,H7,313,0.03871366728509586,485,515
GFP,100,51548,14.318888888888889,H8,258,0.03191094619666048,485,515
GFP,100,51548,14.318888888888889,H9,306,0.03784786641929499,485,515
GFP,100,51548,14.318888888888889,H10,296,0.036611008039579465,485,515
GFP,100,51548,14.318888888888889,H11,279,0.03450834879406308,485,515
GFP,100,51548,14.318888888888889,H12,303,0.037476808905380334,485,515
GFP,100,51848,14.402222222222223,A1,310,0.0383426097711812,485,515
GFP,100,51848,14.402222222222223,A2,259,0.032034632034632034,485,515
GFP,100,51848,14.402222222222223,A3,302,0.03735312306740878,485,515
GFP,100,51848,14.402222222222223,A4,306,0.03784786641929499,485,515
GFP,100,51848,14.402222222222223,A5,295,0.036487322201607914,485,515
GFP,100,51848,14.402222222222223,A6,269,0.03327149041434756,485,515
GFP,100,51848,14.402222222222223,A7,273,0.033766233766233764,485,515
GFP,100,51848,14.402222222222223,A8,270,0.03339517625231911,485,515
GFP,100,51848,14.402222222222223,A9,273,0.033766233766233764,485,515
GFP,100,51848,14.402222222222223,A10,281,0.034755720470006184,485,515
GFP,100,51848,14.402222222222223,A11,322,0.03982683982683983,485,515
GFP,100,51848,14.402222222222223,A12,302,0.03735312306740878,485,515
GFP,100,51848,14.402222222222223,B1,299,0.03698206555349413,485,515
